Service Domain,Version,Request URL,"HTTP 
Method",Short Discription,Header,,Query Parameter,,Request Body,,Response Body,,,,Status Code,담당자,완료 상태
,,,,,Schema,Example,Schema,Example,Schema,Example,Success Response Schema,Success Response Example,Error Response Schema,Error Response Example,,,
Recruitment & Application,V1,api/v1/recruitments,POST,스터디 그룹 모집 공고 작성 API,"{
""Authorization"": str
(Bearer token)
}","{
    ""Authorization"": ""Bearer token_value""
}",,,"{
  ""study_group"": { ""type"": ""int"", ""required"": true },
  ""title"": { ""type"": ""str"", ""required"": true },
  ""content"": { ""type"": ""str"", ""required"": true },
  ""estimated_fee"": { ""type"": ""int"", ""required"": false },
  ""expected_headcount"": { ""type"": ""int"", ""required"": true },
  ""close_at"": { ""type"": ""datetime"", ""format"": ""%Y-%m-%d %H:%M:%S"", ""required"": true },
  ""tags"": { ""type"": ""list[int]"", ""required"": false },
  ""files"": {
    ""type"": ""list[ { file_name: str, file_url: str } ]"",
    ""required"": false
  },
  ""image_urls"": { ""type"": ""list[str]"", ""required"": false }
}
","{
    ""study_group"": 1,
    ""title"": ""파이썬 스터디 모집 공고"",
    ""content"": ""파이썬 주 2회 스터디를 모집합니다."",
    ""estimated_fee"": 100000,
    ""expected_headcount"": 10,
    ""close_at"": ""2025-11-20T00:00:05.875842+09:00"",
    ""tags"": [1, 2],
    ""files"": [
        {
            ""file_name"": ""python_study_plan.hwp"",
            ""file_url"": ""https://ozcoding.site/uploads/files/recruitments/python_study_plan.hwp"",
        }
    ],
    ""image_urls"": [""https://example.com/uploads/images/recruitments/image.png""]
}","200: {
    ""detail"": str
}","200: {
    ""detail"": ""공고가 작성되었습니다.""
}","400: {
    ""error_detail"": {
        ""field_name"": list[str]
    }
}

401: {
    ""error_detail"": str
}

403: {
    ""error_detail"": str
}

404: {
    ""error_detail"": str
}","400: { ""error_detail"": { ""content"": [ ""내용은 공백일 수 없습니다.""]  }}

401: {    ""error_detail"": ""자격 인증 데이터가 제공되지 않았습니다.""}

403: {    ""error_detail"": ""권한이 없습니다.""}

404: { ""error_detail"": ""스터디 그룹을 찾을 수 없습니다.""}
","{
    200: Ok,
    400: Bad Request,
    401: Unauthorized,
    403: Forbidden,
    404: Not Found
}",,대기중
Recruitment & Application,V1,api/v1/recruitments,GET,"스터디 그룹 모집 공고 목록 조회 API

(Pagination)",로그인 하지 않아도 조회 가능,,"{
  ""page"": { ""type"": ""int"", ""required"": false },
  ""page_size"": { ""type"": ""int"", ""required"": false },
  ""search"": { ""type"": ""str"", ""required"": false },
  ""sort"": {
    ""type"": ""enum('latest', 'oldest', 'most_views', 'most_bookmarks')"",
    ""required"": false
  },
  ""tags"": { ""type"": ""list[str]"", ""required"": false }
}
","{
    ""page"": 1,
    ""page_size"": 10,
    ""search"": ""test"",
    ""sort"": ""latest"",
    ""tags"": [""tag1"", ""tag2""]
}",,,"200: {
  ""count"": ""int"",
  ""next"": ""str | null"",
  ""previous"": ""str | null"",
  ""results"": [
    {
      ""uuid"": ""uuid"",
      ""title"": ""str"",
      ""thumbnail_img_url"": ""str"",
      ""expected_headcount"": ""int"",
      ""close_at"": ""datetime"",
      ""views_count"": ""int"",
      ""bookmark_count"": ""int"",
      ""lectures"": [
        {
          ""id"": ""int"",
          ""title"": ""str"",
          ""instructor"": ""str""
        }
      ],
      ""tags"": [
        {
          ""id"": ""int"",
          ""name"": ""str""
        }
      ]
    }
  ]
}
","200: {
  ""count"": 100,
  ""next"": ""http://api.ozcoding.site/api/v1/recruitments?page=2&page_size=10"",
  ""previous"": null,
  ""results"": [
    {
      ""uuid"": ""a1d3b77f-cf73-4ef4-9914-4394d5ab1111"",
      ""title"": ""[급구] Django 심화 스터디원 모집합니다."",
      ""thumbnail_img_url"": ""https://example.com/uploads/recruitments/images/django.png"",
      ""expected_headcount"": 8,
      ""close_at"": ""2025-11-20T00:00:00+09:00"",
      ""views_count"": 350,
      ""bookmark_count"": 120,
      ""lectures"": [
        { ""id"": 1, ""title"": ""Django Deep Dive"", ""instructor"": ""박강사"" }
      ],
      ""tags"": [
        { ""id"": 1, ""name"": ""django"" }
]
}","400: {
  ""error_detail"": str
}

404: {
  ""error_detail"": str
}","

400: { ""error_detail"": 
""page 값이 유효하지 않습니다.""}

404: {""error_detail"": 
""요청한 페이지를 찾을 수 없습니다.""}

","{
    200: Ok,
400: Bad Request,
404: Not Found
}",,대기중
Recruitment & Application,V1,"api/v1/recruitments
/recommends",GET,"스터디 그룹 모집 공고 목록 조회 API

(협업 필터링, 
콘텐츠 기반 필터링)","{
""Authorization"": str
(Bearer token)
}","{
    ""Authorization"": ""Bearer token_value""
}","{
  ""page"": { ""type"": ""int"", ""required"": false },
  ""page_size"": { ""type"": ""int"", ""required"": false },
  ""search"": { ""type"": ""str"", ""required"": false },
  ""sort"": {
    ""type"": ""enum('latest', 'oldest', 'most_views', 'most_bookmarks')"",
    ""required"": false
  },
  ""tags"": { ""type"": ""list[str]"", ""required"": false }
}
","{
    ""page"": 1,
    ""page_size"": 10,
    ""search"": ""test"",
    ""sort"": ""latest"",
    ""tags"": [""tag1"", ""tag2""]
}",,,"200: [
  {
    ""uuid"": ""str"",
    ""title"": ""str"",
    ""thumbnail_img_url"": ""str"",
    ""expected_headcount"": ""int"",
    ""close_at"": ""datetime"",
    ""views_count"": ""int"",
    ""bookmark_count"": ""int"",
    ""lectures"": [
      {
        ""id"": ""int"",
        ""title"": ""str"",
        ""instructor"": ""str""
      }
    ],
    ""tags"": [
{""id"": ""int"", ""name"": ""str""}
    ]
  }
]
","200: [
    {
        ""uuid"": ""b8dbd77f-cf73-4ef4-9914-4394d5ab366e"",
        ""title"": ""[급구] 파이썬 주 1회 스터디원 구합니다."",
        ""thumbnail_img_url"": ""https://example.com/uploads/recruitments/images/image.png"",
        ""expected_headcount"": 10,
        ""close_at"": ""2025-11-20T00:00:05.875842+09:00"",
        ""views_count"": 100,
        ""bookmark_count"": 100,
        ""lectures"": [
            {
                ""id"": 1,
                ""title"": ""파이썬 마스터하기"",
                ""instructor"": ""김한영""
            }
        ],
        ""tags"": [
{""id"": 1, ""name"": ""python""}
        ]
    }
]","401: {
    ""error_detail"": str
}

","401: {
    ""error_detail"": ""자격 인증 데이터가 제공되지 않았습니다.""
}

","{
    200: Ok,
    401: Unathorized,
}",,대기중
Recruitment & Application,V1,api/v1/recruitments/mine,GET,"내가 작성한 스터디 그룹 모집 공고 목록 조회 API

(Pagination)","{
  ""Authorization"": ""str""
}

","{
    ""Authorization"": ""Bearer token_value""
}","{
  ""page"": { ""type"": ""int"", ""required"": false },
  ""page_size"": { ""type"": ""int"", ""required"": false },
  ""search"": { ""type"": ""str"", ""required"": false },
  ""sort"": {
    ""type"": ""enum('latest', 'most_views', 'most_bookmarks')"",
    ""required"": false
  },
  ""is_closed"": {
    ""type"": ""bool"",
    ""required"": false
  }
}
","{
    ""page"": 1,
    ""page_size"": 10,
    ""search"": ""test"",
    ""sort"": ""latest"",
    ""is_closed"": true
}",,,"200: {
    ""count"": int,
    ""next"": str | None, (null?)
    ""previous"": str | None, (null?)
    ""results"": [
        {
            ""uuid"": uuid,
            ""title"": str,
            ""thumbnail_img_url"": str,
            ""expected_headcount"": int,
            ""close_at"": datetime,
            ""views_count"": int,
            ""bookmark_count"": int,
            ""lectures"": [
                {
                    ""id"": int,
                    ""title"": str,
                    ""instructor"": str,
                }
            ],
            ""tags"": [
                }   
                    ""id"": int,
                    ""name"": str,
                }
            ]
        }
    ]
}","200: {
    ""count"": 100,
    ""next"": ""http://api.ozcoding.site/api/v1/recruitments?page=2&page_size=10"",
    ""previous"": null,
    ""results"": [
        {
            ""uuid"": ""b8dbd77f-cf73-4ef4-9914-4394d5ab366e"",
            ""title"": ""[급구] 파이썬 주 1회 스터디원 구합니다."",
            ""thumbnail_img_url"": ""https://example.com/uploads/recruitments/images/image.png"",
            ""expected_headcount"": 10,
            ""close_at"": ""2025-11-20T00:00:05.875842+09:00"",
            ""views_count"": 100,
            ""bookmark_count"": 100,
            ""lectures"": [
                {
                    ""id"": 1,
                    ""title"": ""파이썬 마스터하기"",
                    ""instructor"": ""김한영""
                }
            ],
            ""tags"": [
                {
                    ""id"": 1,
                    ""name"": ""python""
                }
            ]
        }
    ]
}
","400: {
    ""error_detail"": str
}

401: {
    ""error_detail"": str
}

403: {
    ""error_detail"": str
}

404: {
    ""error_detail"": str
}","
400: {
  ""error_detail"": ""page 값이 유효하지 않습니다.""
}

401: {
    ""error_detail"": ""자격 인증 데이터가 제공되지 않았습니다.""
} 

403: {
  ""error_detail"": ""권한이 없습니다.""
}

404: {
  ""error_detail"": ""요청한 페이지를 찾을 수 없습니다.""
}
","{
    200: Ok,
400: Bad Request,
    401: Unauthorized,
403: Forbidden,
404: Not Found
}",,대기중
Recruitment & Application,V1,"api/v1/recruitments/
{recruitment_uuid}",GET,"스터디 그룹 모집 공고 상세 조회 API

",로그인 필요 없음,,,,,,"200: {
    ""uuid"": uuid,
    ""title"": str,
    ""content"": str,
    ""estimated_fee"": int,
    ""expected_headcount"": int,
    ""bookmark_count"": int,
    ""views_count"": int,
    ""lectures"": [
        {
            ""id"": int,
            ""title"": str,
            ""instructor"": str,
            ""thumbnail_img_url"": str,
            ""url_link"": str,
            ""original_price"": int,
            ""discount_price"": int
        }  
    ],
    ""tags"": [
        {
            ""id"": int,
            ""name"": str
        }
    ],
    ""files"": [
        {
            ""id"": int,
            ""file_name"": str,
            ""file_url"": str
        }
    ],
""image_urls"": { ""type"": ""list[str]"", ""required"": false }.
    ""close_at"": datetime,
    ""created_at"": datetime,
    ""updated_at"": datetime
}","200: {
    ""uuid"": ""b8dbd77f-cf73-4ef4-9914-4394d5ab366e"",
    ""title"": ""[급구] 파이썬 주 1회 스터디원 구합니다."",
    ""content"": ""진짜 열심히 할 딱 한명 구합니다."",
    ""estimated_fee"": 100000,
    ""expected_headcount"": 10,
    ""views_count"": 100,
    ""bookmark_count"": 100,
    ""lectures"": [
        {
            ""id"": 1,
            ""title"": ""파이썬 마스터하기"",
            ""instructor"": ""김한영"",
            ""thumbnail_img_url"": ""https://example.com/uploads/images/lectures/image.png"",
            ""url_link"": ""https://inflearn.com/lectures/1"",
            ""original_price"": 100000,
            ""discount_price"": 90000
        }
    ],
    ""tags"": [
        {
            ""id"": 1,
            ""name"": ""python""
        }
    ],
    ""files"": [
        {
            ""id"": 1,
            ""file_name"": ""discription.md"",
            ""file_url"": ""https://example.com/uploads/files/recruitments/discription.md"",
        }
    ],
""image_urls"": [
    ""https://example.com/uploads/recruitments/images/image.png""
  ],
    ""close_at"": ""2025-11-20T00:00:05.875842+09:00"",
    ""created_at"": ""2025-11-20T00:00:05.875842+09:00"",
    ""updated_at"": ""2025-11-20T00:00:05.875842+09:00""
}","404: {
    ""error_detail"": str
}","404: {
    ""error_detail"": ""해당 공고를 찾을 수 없습니다.""
}","{
    200: Ok,,
    404: Not Found
}",,대기중
Recruitment & Application,V1,"api/v1/recruitments/
{recruitment_uuid}",PATCH,스터디 그룹 모집 공고 수정 API,"{
    ""Authorization"": str
}","{
    ""Authorization"": ""Bearer token_value""
}",,,"{
  ""title"": {
    ""type"": ""str"",
    ""required"": false
  },
  ""content"": {
    ""type"": ""str"",
    ""required"": false
  },
  ""estimated_fee"": {
    ""type"": ""int"",
    ""required"": false
  },
  ""expected_headcount"": {
    ""type"": ""int"",
    ""required"": false
  },
  ""tags"": {
    ""type"": ""list[int]"",
    ""required"": false
  },
  ""close_at"": {
    ""type"": ""datetime"",
    ""format"": ""%Y-%m-%d %H:%M:%S"",
    ""required"": false
  },
  ""image_urls"": {
    ""type"": ""list[str]"",
    ""required"": false
  },
  ""files"": {
    ""type"": ""list[ { file_name: str, file_url: str } ]"",
    ""required"": false
  }
}
","{
    ""title"": ""파이썬 잘하시는 분 찾습니다."",
    ""content"": ""파이썬 수준급으로 다룰 수 있으신분?"",
    ""estimated_fee"": 100000,
    ""expected_headcount"": 10,
    ""close_at"": ""2025-11-20 00:00:00"",
    ""tags"": [1, 2],
    ""image_urls"": [
        ""https://example.com/uploads/images/recruitments/image.png""
    ],
    ""files"": [
        {
            ""file_name"": ""summary.md"",
            ""file_url"": ""https://example.com/uploads/files/recruitments/summary.md""
        }
    ]
}
","200: {
  ""uuid"": ""str"",
  ""title"": ""str"",
  ""content"": ""str"",
  ""estimated_fee"": ""int"",
  ""expected_headcount"": ""int"",
  ""tags"": [
    { ""id"": ""int"", ""name"": ""str"" }
  ],
  ""files"": [
    { ""id"": ""int"", ""file_name"": ""str"", ""file_url"": ""str"" }
  ],
  ""image_urls"": [""str""],
  ""close_at"": ""datetime"",
  ""updated_at"": ""datetime""
}
","200: {
  ""uuid"": ""b8dbd77f-cf73-4ef4-9914-4394d5ab366e"",
  ""title"": ""파이썬 잘하시는 분 찾습니다."",
  ""content"": ""파이썬 수준급으로 다룰 수 있으신 분?"",
  ""estimated_fee"": 100000,
  ""expected_headcount"": 10,
  ""tags"": [
    {
      ""id"": 1,
      ""name"": ""python""
    }
  ],
  ""files"": [
    {
      ""id"": 1,
      ""file_name"": ""summary.md"",
      ""file_url"": ""https://example.com/uploads/files/recruitments/summary.md""
    }
  ],
  ""image_urls"": [
    ""https://example.com/uploads/images/recruitments/image.png""
  ],
  ""close_at"": ""2025-11-20T00:00:05.875842+09:00"",
  ""updated_at"": ""2025-11-20T00:00:05.875842+09:00""
}
","400: {
    ""error_detail"": {
        ""field_name"": list[str]
    }
}

401: {
    ""error_detail"": str
}

403: {
    ""error_detail"": str
}

404: {
    ""error_detail"": str
}","400: {
    ""error_detail"": {
        ""content"": [
            ""내용은 공백일 수 없습니다.""
        ]
    }
}

401: {
    ""error_detail"": ""자격 인증 데이터가 제공되지 않았습니다.""
}

403: {
    ""error_detail"": ""권한이 없습니다.""
}

404: {
    ""error_detail"": ""해당 공고를 찾을 수 없습니다.""
}","{
    200: Ok,
    400: Bad Request,
    401: Unauthorized,
    403: Forbidden,
    404: Not Found
}",,대기중
Recruitment & Application,V1,"api/v1/recruitments/
{recruitment_uuid}",DELETE,스터디 그룹 모집 공고 삭제 API,"{
    ""Authorization"": str
}","{
    ""Authorization"": ""Bearer token_value""
}",,,,,"200: {
    ""detail"": str
}","200: {
    ""detail"": ""공고가 삭제되었습니다.""
}","401: {
    ""error_detail"": str
}

403: {
    ""error_detail"": str
}

404: {
    ""error_detail"": str
}","401: {
    ""error_detail"": ""자격 인증 데이터가 제공되지 않았습니다.""
}

403: {
    ""error_detail"": ""권한이 없습니다.""
}

404: {
    ""error_detail"": ""해당 공고를 찾을 수 없습니다.""
}","{
    200: Ok,
    401: Unauthorized,
    403: Forbidden,
    404: Not Found
}",,대기중
Recruitment & Application,V1,api/v1/recruitment-bookmarks,POST,스터디 그룹 모집 공고 북마크 추가 API,"{
    ""Authorization"": str
}","{
    ""Authorization"": ""Bearer token_value""
}",,,"{
    ""recruitment_uuid"": {
        type: uuid,
        required: True
    }
}","{
    ""recruitment_uuid"": ""b8dbd77f-cf73-4ef4-9914-4394d5ab366e""
}","200: {
    ""detail"": str
}","200: {
    ""detail"": ""북마크가 추가되었습니다.""
}","401: {
    ""error_detail"": str
}

404: {
    ""error_detail"": str
}

409: {
    ""error_detail"": str
}","401: {
    ""error_detail"": ""자격 인증 데이터가 제공되지 않았습니다.""
}

404: {
    ""error_detail"": ""해당 공고를 찾을 수 없습니다.""
}

409: {
""error_detail"": ""이미 북마크한 공고입니다.""
}","{
    200: Ok,
    401: Unauthorized,
    404: Not Found,
    409: Conflict
}",,대기중
Recruitment & Application,V1,api/v1/recruitment-bookmarks,GET,스터디 그룹 모집 공고 북마크 목록 조회 API,"{
    ""Authorization"": str
}","{
    ""Authorization"": ""Bearer token_value""
}","{
  ""cursor"": { ""type"": ""str"", ""required"": false },
  ""page_size"": { ""type"": ""int"", ""required"": false },
  ""search"": { ""type"": ""str"", ""required"": false }
}
","{
    ""cursor"": ""encoded cursor value"",
    ""page_size"": 10,
    ""search"": ""test""
}",,,"200: {
  ""next"": ""str | null"",
  ""previous"": ""str | null"",
  ""results"": [
    {
      ""id"": ""int"",
      ""recruitment"": {
        ""uuid"": ""uuid"",
        ""title"": ""str"",
        ""thumbnail_img_url"": ""str"",
        ""expected_headcount"": ""int"",
        ""close_at"": ""datetime"",
        ""views_count"": ""int"",
        ""bookmark_count"": ""int"",
        ""lectures"": [
          {
            ""id"": ""int"",
            ""title"": ""str"",
            ""instructor"": ""str""
          }
        ],
        ""tags"": [
          {
            ""id"": ""int"",
            ""name"": ""str""
          }
        ]
      }
    }
  ]
}
","200: {
  ""next"": ""http://api.ozcoding.site/api/v1/recruitment-bookmarks?cursor=encoded123"",
  ""previous"": null,
  ""results"": [
    {
      ""id"": 1,
      ""recruitment"": {
        ""uuid"": ""b8dbd77f-cf73-4ef4-9914-4394d5ab366e"",
        ""title"": ""[급구] 파이썬 주 1회 스터디원 구합니다."",
        ""thumbnail_img_url"": ""https://example.com/uploads/recruitments/images/image.png"",
        ""expected_headcount"": 10,
        ""close_at"": ""2025-11-20T00:00:05.875842+09:00"",
        ""views_count"": 100,
        ""bookmark_count"": 100,
        ""lectures"": [
          {
            ""id"": 1,
            ""title"": ""파이썬 마스터하기"",
            ""instructor"": ""김한영""
          }
        ],
        ""tags"": [
          {
            ""id"": 1,
            ""name"": ""python""
          }
        ]
      }
    }
  ]
}
","401: {
    ""error_detail"": str
}","401: {
    ""error_detail"": ""자격 인증 데이터가 제공되지 않았습니다.""
}","{
    200: Ok,
    401: Unauthorized,
}",,대기중
